iter	Passed	Remaining
615	9186	5726
616	9198	5709
617	9211	5693
618	9225	5678
619	9237	5661
620	9250	5645
621	9262	5629
622	9274	5612
623	9287	5596
624	9300	5580
625	9312	5563
626	9326	5548
627	9339	5532
628	9355	5518
629	9368	5502
630	9382	5486
631	9395	5470
632	9408	5454
633	9420	5438
634	9432	5421
635	9444	5405
636	9456	5389
637	9469	5372
638	9481	5356
639	9492	5339
640	9505	5323
641	9517	5307
642	9529	5290
643	9541	5274
644	9554	5258
645	9566	5242
646	9579	5226
647	9592	5210
648	9605	5194
649	9617	5178
650	9630	5162
651	9642	5146
652	9654	5130
653	9667	5114
654	9679	5098
655	9691	5082
656	9703	5065
657	9716	5050
658	9728	5034
659	9740	5017
660	9753	5002
661	9766	4986
662	9778	4970
663	9790	4954
664	9802	4938
665	9814	4922
666	9827	4906
667	9839	4890
668	9851	4874
669	9863	4857
670	9875	4841
671	9887	4825
672	9898	4809
673	9910	4793
674	9923	4778
675	9939	4763
676	9952	4748
677	9964	4732
678	9977	4716
679	9989	4701
680	10001	4685
681	10013	4669
682	10025	4653
683	10037	4637
684	10049	4621
685	10061	4605
686	10073	4589
687	10085	4573
688	10098	4558
689	10110	4542
690	10122	4526
691	10134	4510
692	10147	4495
693	10159	4479
694	10172	4464
695	10184	4448
696	10195	4432
697	10209	4417
698	10222	4401
699	10234	4386
700	10246	4370
701	10258	4354
702	10270	4338
703	10282	4323
704	10294	4307
705	10306	4291
706	10318	4276
707	10330	4260
708	10342	4245
709	10354	4229
710	10366	4213
711	10379	4198
712	10391	4182
713	10405	4167
714	10419	4153
715	10433	4138
716	10447	4123
717	10460	4108
718	10474	4093
719	10486	4078
720	10500	4063
721	10514	4048
722	10527	4033
723	10541	4018
724	10554	4003
725	10567	3988
726	10581	3973
727	10595	3958
728	10609	3943
729	10622	3928
730	10634	3913
731	10646	3897
732	10658	3882
733	10670	3867
734	10683	3851
735	10695	3836
736	10707	3821
737	10720	3805
738	10731	3790
739	10745	3775
740	10759	3760
741	10772	3745
742	10786	3730
743	10799	3715
744	10812	3700
745	10826	3686
746	10839	3671
747	10853	3656
748	10868	3642
749	10885	3628
750	10902	3614
751	10915	3599
752	10928	3584
753	10945	3571
754	10958	3555
755	10971	3540
756	10983	3525
757	10996	3510
758	11008	3495
759	11020	3480
760	11033	3465
761	11046	3450
762	11058	3435
763	11070	3419
764	11082	3404
765	11095	3389
766	11107	3374
767	11119	3359
768	11132	3344
769	11146	3329
770	11159	3314
771	11172	3299
772	11183	3284
773	11196	3269
774	11208	3254
775	11220	3238
776	11232	3223
777	11245	3208
778	11257	3193
779	11270	3178
780	11282	3163
781	11295	3148
782	11307	3133
783	11320	3118
784	11334	3104
785	11347	3089
786	11359	3074
787	11372	3059
788	11385	3044
789	11399	3030
790	11411	3015
791	11423	3000
792	11436	2985
793	11448	2970
794	11460	2955
795	11472	2940
796	11485	2925
797	11497	2910
798	11510	2895
799	11523	2880
800	11536	2866
801	11549	2851
802	11562	2836
803	11575	2821
804	11587	2806
805	11600	2792
806	11613	2777
807	11625	2762
808	11638	2747
809	11651	2733
810	11666	2718
811	11679	2704
812	11692	2689
813	11704	2674
814	11718	2659
815	11730	2645
816	11743	2630
817	11756	2615
818	11769	2600
819	11781	2586
820	11793	2571
821	11806	2556
822	11819	2541
823	11831	2527
824	11844	2512
825	11858	2498
826	11870	2483
827	11882	2468
828	11894	2453
829	11906	2438
830	11919	2424
831	11931	2409
832	11944	2394
833	11957	2380
834	11970	2365
835	11983	2350
836	11995	2335
837	12007	2321
838	12020	2306
839	12032	2291
840	12044	2277
841	12057	2262
842	12070	2248
843	12082	2233
844	12096	2218
845	12109	2204
846	12121	2189
847	12133	2174
848	12147	2160
849	12160	2145
850	12172	2131
851	12185	2116
852	12198	2102
853	12211	2087
854	12225	2073
855	12238	2058
856	12252	2044
857	12265	2029
858	12278	2015
859	12293	2001
860	12306	1986
861	12319	1972
862	12332	1957
863	12344	1943
864	12356	1928
865	12368	1913
866	12380	1899
867	12393	1884
868	12406	1870
869	12418	1855
870	12430	1841
871	12443	1826
872	12456	1812
873	12468	1797
874	12481	1783
875	12495	1768
876	12508	1754
877	12521	1739
