iter	Passed	Remaining
860	2197	354
861	2199	352
862	2201	349
863	2203	346
864	2205	344
865	2207	341
866	2209	338
867	2211	336
868	2213	333
869	2216	331
870	2218	328
871	2220	325
872	2222	323
873	2224	320
874	2226	318
875	2228	315
876	2229	312
877	2231	310
878	2233	307
879	2235	304
880	2237	302
881	2239	299
882	2241	297
883	2243	294
884	2245	291
885	2247	289
886	2250	286
887	2252	284
888	2254	281
889	2256	278
890	2259	276
891	2261	273
892	2263	271
893	2265	268
894	2267	265
895	2269	263
896	2270	260
897	2273	258
898	2275	255
899	2277	253
900	2279	250
901	2281	247
902	2283	245
903	2285	242
904	2287	240
905	2289	237
906	2291	234
907	2293	232
908	2295	229
909	2297	227
910	2299	224
911	2301	222
912	2302	219
913	2304	216
914	2306	214
915	2308	211
916	2310	209
917	2312	206
918	2314	203
919	2316	201
920	2318	198
921	2321	196
922	2323	193
923	2325	191
924	2326	188
925	2328	186
926	2330	183
927	2332	180
928	2334	178
929	2336	175
930	2338	173
931	2339	170
932	2341	168
933	2343	165
934	2345	163
935	2347	160
936	2349	157
937	2350	155
938	2352	152
939	2354	150
940	2356	147
941	2358	145
942	2359	142
943	2362	140
944	2364	137
945	2365	135
946	2367	132
947	2369	129
948	2371	127
949	2373	124
950	2375	122
951	2377	119
952	2379	117
953	2381	114
954	2382	112
955	2384	109
956	2386	107
957	2388	104
958	2391	102
959	2393	99
960	2395	97
961	2396	94
962	2398	92
963	2400	89
964	2402	87
965	2403	84
966	2405	82
967	2407	79
968	2409	77
969	2411	74
970	2413	72
971	2414	69
972	2416	67
973	2418	64
974	2420	62
975	2422	59
976	2423	57
977	2425	54
978	2427	52
979	2429	49
980	2430	47
981	2433	44
982	2435	42
983	2437	39
984	2439	37
985	2441	34
986	2443	32
987	2445	29
988	2447	27
989	2450	24
990	2452	22
991	2454	19
992	2456	17
993	2458	14
994	2460	12
995	2462	9
996	2464	7
997	2466	4
998	2468	2
999	2470	0
